Season,DateTime,HomeTeam,AwayTeam,FTR,HomeTeam_WinPercentage,HomeTeam_DrawPercentage,AwayTeam_WinPercentage,AwayTeam_DrawPercentage,HomeTeam_Streak,AwayTeam_Streak,HomeTeam_AvgGoal,AwayTeam_AvgGoal,HomeTeam_AvgGoalDiff,AwayTeam_AvgGoalDiff,HomeTeam_AvgShotOnTarget,AwayTeam_AvgShotOnTarget,HomeTeam_AvgShotBlock,AwayTeam_AvgShotBlock,HomeTeam_AvgCorners,AwayTeam_AvgCorners,HomeTeam_AvgRedCards,AwayTeam_AvgRedCards,HomeTeam_AvgYellowCards,AwayTeam_AvgYellowCards,HomeTeam_H2H_Wins,AwayTeam_H2H_Wins,HomeTeam_Last_Season,AwayTeam_Last_Season
2013-14,2013-10-06 00:00:00+00:00,Norwich,Chelsea,A,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,1,0,0.6666666666666666,1.1666666666666667,-0.3333333333333333,0.6666666666666666,2.5,5.333333333333333,2.5,2.5,4.5,5.333333333333333,0.0,0.16666666666666666,1.3333333333333333,1.3333333333333333,0.0,2.0,0.2631578947368421,0.5789473684210527
2013-14,2013-10-06 00:00:00+00:00,Southampton,Swansea,H,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,2,-1,0.8333333333333334,1.3333333333333333,0.5,-0.16666666666666666,4.166666666666667,5.5,2.0,2.3333333333333335,7.0,4.5,0.0,0.0,0.8333333333333334,2.5,3.5,1.5,0.2368421052631578,0.2894736842105263
2013-14,2013-10-06 00:00:00+00:00,Tottenham,West Ham,A,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0,-2,1.0,0.6666666666666666,0.6666666666666666,-0.16666666666666666,5.666666666666667,2.0,2.8333333333333335,2.0,7.5,4.333333333333333,0.0,0.16666666666666666,2.1666666666666665,1.6666666666666667,3.0,2.0,0.5526315789473685,0.3157894736842105
2013-14,2013-10-06 00:00:00+00:00,West Brom,Arsenal,D,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.0,2,5,1.0,2.1666666666666665,0.16666666666666666,1.0,2.6666666666666665,5.666666666666667,2.8333333333333335,2.6666666666666665,4.166666666666667,5.166666666666667,0.0,0.16666666666666666,2.0,2.0,3.0,2.0,0.3684210526315789,0.5526315789473685
2013-14,2013-10-19 00:00:00+00:00,Arsenal,Norwich,H,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.14285714285714285,0,-1,2.0,0.7142857142857143,0.8571428571428571,-0.5714285714285714,5.571428571428571,2.5714285714285716,2.7142857142857144,2.857142857142857,4.714285714285714,4.428571428571429,0.14285714285714285,0.0,2.0,1.2857142857142858,2.0,0.0,0.5526315789473685,0.2631578947368421
2013-14,2013-10-19 00:00:00+00:00,Chelsea,Cardiff,H,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,1,-1,1.4285714285714286,1.0,0.8571428571428571,-0.2857142857142857,5.714285714285714,2.2857142857142856,2.4285714285714284,5.0,5.428571428571429,3.857142857142857,0.14285714285714285,0.0,1.2857142857142858,1.0,1.0,0.0,0.5789473684210527,0.0
2013-14,2013-10-19 00:00:00+00:00,Everton,Hull,H,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,-1,0,1.4285714285714286,0.8571428571428571,0.14285714285714285,-0.14285714285714285,5.285714285714286,2.5714285714285716,2.0,3.0,5.142857142857143,4.0,0.0,0.14285714285714285,1.4285714285714286,1.4285714285714286,2.5,0.5,0.4210526315789473,0.0
2013-14,2013-10-19 00:00:00+00:00,Man United,Southampton,D,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.2857142857142857,1,3,1.4285714285714286,1.0,0.14285714285714285,0.7142857142857143,5.142857142857143,4.142857142857143,2.4285714285714284,2.7142857142857144,5.428571428571429,7.0,0.0,0.0,2.4285714285714284,1.1428571428571428,2.0,3.0,0.7368421052631579,0.2368421052631578
2013-14,2013-10-19 00:00:00+00:00,Newcastle,Liverpool,D,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.14285714285714285,1,2,1.2857142857142858,1.5714285714285714,-0.42857142857142855,0.8571428571428571,5.142857142857143,5.714285714285714,2.4285714285714284,4.0,4.0,6.857142857142857,0.14285714285714285,0.0,1.5714285714285714,1.7142857142857142,3.0,1.0,0.2894736842105263,0.4210526315789473
2013-14,2013-10-19 00:00:00+00:00,Stoke,West Brom,D,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.42857142857142855,-3,0,0.5714285714285714,1.0,-0.42857142857142855,0.14285714285714285,3.4285714285714284,2.857142857142857,3.5714285714285716,3.0,5.428571428571429,4.428571428571429,0.0,0.0,1.7142857142857142,1.8571428571428572,3.0,2.0,0.2368421052631578,0.3684210526315789
2013-14,2013-10-19 00:00:00+00:00,Swansea,Sunderland,H,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,-2,-5,1.1428571428571428,0.7142857142857143,-0.42857142857142855,-1.5714285714285714,5.714285714285714,2.4285714285714284,2.2857142857142856,2.7142857142857144,4.428571428571429,5.714285714285714,0.0,0.14285714285714285,2.2857142857142856,1.2857142857142858,2.5,1.5,0.2894736842105263,0.2368421052631578
2013-14,2013-10-19 00:00:00+00:00,West Ham,Man City,A,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285,1,1,1.0,2.4285714285714284,0.2857142857142857,1.2857142857142858,2.4285714285714284,6.142857142857143,2.2857142857142856,2.142857142857143,4.714285714285714,8.0,0.14285714285714285,0.0,1.4285714285714286,1.7142857142857142,1.5,3.5,0.3157894736842105,0.6052631578947368
